"Date","Price","Open","High","Low","Vol.","Change %"
"15-01-2024","22,338.75","22,313.00","22,355.45","22,202.70","631.13M","0.81%"
"12-01-2024","22,159.25","22,065.10","22,192.75","22,003.15","606.46M","0.99%"
"11-01-2024","21,942.15","21,963.75","22,004.10","21,886.65","507.32M","0.26%"
"10-01-2024","21,885.80","21,806.10","21,907.50","21,704.50","488.57M","0.32%"
"09-01-2024","21,815.15","21,915.65","21,986.60","21,788.70","478.43M","0.20%"
"08-01-2024","21,770.75","22,016.70","22,024.15","21,750.25","518.39M","-0.93%"
"05-01-2024","21,974.60","21,988.50","22,027.00","21,882.25","649.62M","0.18%"
"04-01-2024","21,934.40","21,865.40","21,961.40","21,830.90","639.76M","0.75%"
"03-01-2024","21,771.40","21,877.60","21,890.65","21,752.55","696.28M","-0.43%"
"02-01-2024","21,865.25","21,955.80","21,959.55","21,727.35","576.35M","-0.32%"
"01-01-2024","21,934.70","21,928.70","22,026.20","21,877.30","444.47M","0.07%"
"29-12-2023","21,918.80","21,903.45","21,944.45","21,847.50","643.43M","-0.06%"
"28-12-2023","21,931.75","21,879.85","21,951.90","21,836.95","911.29M","0.53%"
"27-12-2023","21,815.45","21,683.90","21,834.70","21,678.40","521.90M","0.92%"
"26-12-2023","21,617.05","21,539.40","21,647.05","21,504.60","501.50M","0.50%"
"22-12-2023","21,508.85","21,461.25","21,544.20","21,382.20","619.50M","0.50%"
"21-12-2023","21,402.15","21,135.30","21,435.00","21,073.90","604.18M","0.63%"
"20-12-2023","21,267.35","21,728.65","21,775.75","21,206.35","759.55M","-1.64%"
"19-12-2023","21,622.95","21,647.45","21,672.55","21,494.40","559.55M","0.17%"
"18-12-2023","21,585.25","21,585.20","21,644.00","21,510.15","588.12M","-0.05%"
"15-12-2023","21,595.50","21,471.20","21,624.75","21,411.35","870.77M","1.08%"
"14-12-2023","21,364.30","21,279.40","21,392.75","21,252.70","688.01M","1.25%"
"13-12-2023","21,099.60","21,088.35","21,122.15","20,930.25","582.96M","0.20%"
"12-12-2023","21,058.25","21,191.90","21,203.70","21,009.90","514.38M","-0.49%"
"11-12-2023","21,161.70","21,114.75","21,181.10","21,089.30","533.17M","0.26%"
"08-12-2023","21,107.20","21,125.20","21,172.35","20,981.70","694.04M","0.15%"
"07-12-2023","21,076.35","21,086.25","21,102.80","21,014.20","782.04M","0.01%"
"06-12-2023","21,074.15","21,055.10","21,093.00","20,978.10","840.23M","0.60%"
"05-12-2023","20,949.25","20,870.40","20,957.65","20,783.60","901.40M","0.92%"
"04-12-2023","20,757.95","20,687.35","20,773.70","20,586.75","901.15M","2.06%"
"01-12-2023","20,339.45","20,274.60","20,365.45","20,263.10","657.65M","0.69%"
"30-11-2023","20,201.00","20,152.85","20,226.40","20,063.40","1.18B","0.32%"
"29-11-2023","20,136.20","20,037.25","20,144.60","20,021.30","634.53M","0.99%"
"28-11-2023","19,938.40","19,867.75","19,964.95","19,832.50","594.38M","0.64%"
"24-11-2023","19,812.10","19,831.80","19,854.70","19,792.75","343.96M","-0.04%"
